atm file : ./atm_trans_0_1_10_0_0_0.dat
0.6 200 8.23956 5.76022e-09
0.6 201 5.14234 7.20543e-06
0.6 202 4.75599 1.75391e-05
0.6 203 4.75173 1.77121e-05
0.6 204 4.72914 1.86577e-05
0.6 205 4.69697 2.00925e-05
0.6 206 4.6511 2.23304e-05
0.6 207 4.59286 2.55355e-05
0.6 208 4.526 2.97854e-05
0.6 209 4.44464 3.59218e-05
0.6 210 4.3564 4.40147e-05
0.6 211 4.25749 5.52725e-05
0.6 212 4.15135 7.05752e-05
0.6 213 4.0396 9.12855e-05
0.6 214 3.92043 0.000120107
0.6 215 3.79818 0.000159157
0.6 216 3.67008 0.000213756
0.6 217 3.53988 0.00028848
0.6 218 3.40858 0.000390317
0.6 219 3.27394 0.000532187
0.6 220 3.14084 0.000723031
0.6 221 3.01014 0.000976931
0.6 222 2.88031 0.0013173
0.6 223 2.75165 0.00177154
0.6 224 2.62676 0.00236179
0.6 225 2.50568 0.00312122
0.6 226 2.38937 0.00407969
0.6 227 2.27679 0.00528698
0.6 228 2.16874 0.0067804
0.6 229 2.06695 0.00857135
0.6 230 1.96998 0.0107157
0.6 231 1.87842 0.0132306
0.6 232 1.79229 0.0161328
0.6 233 1.71153 0.0194298
0.6 234 1.63824 0.0230017
0.6 235 1.56691 0.0271075
0.6 236 1.50373 0.0313526
0.6 237 1.4448 0.0359091
0.6 238 1.39059 0.0406828
0.6 239 1.34264 0.0454314
0.6 240 1.29521 0.0506744
0.6 241 1.25553 0.0555221
0.6 242 1.21599 0.0608155
0.6 243 1.18492 0.0653251
0.6 244 1.14836 0.0710629
0.6 245 1.119 0.0760325
0.6 246 1.08675 0.0818942
0.6 247 1.0646 0.0861793
0.6 248 1.04 0.0912002
0.6 249 1.02386 0.0946544
0.6 250 0.996967 0.100701
0.6 251 0.981888 0.104259
0.6 252 0.959855 0.109684
0.6 253 0.941799 0.114341
0.6 254 0.920874 0.119985
0.6 255 0.913014 0.122176
0.6 256 0.881302 0.131431
0.6 257 0.863071 0.137066
0.6 258 0.85565 0.139428
0.6 259 0.823993 0.149971
0.6 260 0.810768 0.154608
0.6 261 0.782484 0.165012
0.6 262 0.768525 0.170402
0.6 263 0.733495 0.184716
0.6 264 0.724756 0.188471
0.6 265 0.698569 0.200185
0.6 266 0.672127 0.212752
0.6 267 0.649397 0.224183
0.6 268 0.621578 0.239013
0.6 269 0.601906 0.250089
0.6 270 0.577645 0.264457
0.6 271 0.553528 0.279558
0.6 272 0.531526 0.294086
0.6 273 0.506661 0.311415
0.6 274 0.478735 0.332097
0.6 275 0.458866 0.347643
0.6 276 0.436724 0.365827
0.6 277 0.417043 0.382787
0.6 278 0.394948 0.402765
0.6 279 0.375757 0.420962
0.6 280 0.35511 0.441459
0.6 281 0.335932 0.46139
0.6 282 0.318988 0.479747
0.6 283 0.30708 0.493083
0.6 284 0.288931 0.514125
0.6 285 0.273664 0.53252
0.6 286 0.261728 0.547359
0.6 287 0.249231 0.563338
0.6 288 0.236176 0.580529
0.6 289 0.225688 0.594719
0.6 290 0.216701 0.607154
0.6 291 0.20712 0.620698
0.6 292 0.198888 0.632575
0.6 293 0.190961 0.644227
0.6 294 0.184409 0.65402
0.6 295 0.177708 0.664189
0.6 296 0.171862 0.673191
0.6 297 0.166496 0.68156
0.6 298 0.161686 0.68915
0.6 299 0.157127 0.696423
0.6 300 0.153289 0.702605
0.6 301 0.149239 0.709187
0.6 302 0.146225 0.714126
0.6 303 0.142769 0.719832
0.6 304 0.140352 0.723849
0.6 305 0.137247 0.729043
0.6 306 0.135209 0.732472
0.6 307 0.13252 0.737021
0.6 308 0.130673 0.740162
0.6 309 0.128478 0.743913
0.6 310 0.126584 0.747164
0.6 311 0.124878 0.750105
0.6 312 0.122997 0.753361
0.6 313 0.121563 0.755852
0.6 314 0.119854 0.758833
0.6 315 0.118536 0.761139
0.6 316 0.116972 0.763885
0.6 317 0.115776 0.765992
0.6 318 0.114289 0.768619
0.6 319 0.113116 0.770698
0.6 320 0.111932 0.772802
0.6 321 0.110555 0.775256
0.6 322 0.109709 0.776767
0.6 323 0.108312 0.77927
0.6 324 0.107322 0.781048
0.6 325 0.106367 0.782768
0.6 326 0.105182 0.784907
0.6 327 0.104303 0.786497
0.6 328 0.103393 0.788147
0.6 329 0.102283 0.790164
0.6 330 0.101436 0.791706
0.6 331 0.1006 0.793232
0.6 332 0.099569 0.795117
0.6 333 0.098777 0.796568
0.6 334 0.097913 0.798155
0.6 335 0.096982 0.799867
0.6 336 0.096174 0.801357
0.6 337 0.095423 0.802744
0.6 338 0.094579 0.804305
0.6 339 0.093807 0.805736
0.6 340 0.093077 0.807092
0.6 341 0.092292 0.808552
0.6 342 0.091529 0.809974
0.6 343 0.09082 0.811297
0.6 344 0.090144 0.812561
0.6 345 0.089429 0.8139
0.6 346 0.088716 0.815237
0.6 347 0.088039 0.816509
0.6 348 0.087367 0.817773
0.6 349 0.086696 0.819038
0.6 350 0.086055 0.820248
0.6 351 0.085398 0.821489
0.6 352 0.084748 0.82272
0.6 353 0.084116 0.823918
0.6 354 0.083497 0.825093
0.6 355 0.082879 0.826268
0.6 356 0.082288 0.827393
0.6 357 0.081698 0.828518
0.6 358 0.081109 0.829643
0.6 359 0.080532 0.830746
0.6 360 0.079945 0.831869
0.6 361 0.079388 0.832937
0.6 362 0.078827 0.834013
0.6 363 0.078286 0.835053
0.6 364 0.077745 0.836094
0.6 365 0.077205 0.837134
0.6 366 0.076665 0.838176
0.6 367 0.076125 0.839218
0.6 368 0.075625 0.840185
0.6 369 0.075119 0.841165
0.6 370 0.074609 0.842153
0.6 371 0.0741 0.843141
0.6 372 0.073611 0.84409
0.6 373 0.073124 0.845038
0.6 374 0.072648 0.845964
0.6 375 0.072179 0.846878
0.6 376 0.071719 0.847776
0.6 377 0.071251 0.84869
0.6 378 0.07079 0.849591
0.6 379 0.070338 0.850476
0.6 380 0.069886 0.851361
0.6 381 0.069434 0.852248
0.6 382 0.06899 0.85312
0.6 383 0.068559 0.853967
0.6 384 0.068141 0.854789
0.6 385 0.067711 0.855636
0.6 386 0.067285 0.856476
0.6 387 0.066871 0.857292
0.6 388 0.066477 0.858071
0.6 389 0.066082 0.858851
0.6 390 0.06568 0.859647
0.6 391 0.065285 0.860429
0.6 392 0.0649 0.861192
0.6 393 0.064506 0.861974
0.6 394 0.06412 0.86274
0.6 395 0.063735 0.863505
0.6 396 0.063358 0.864255
0.6 397 0.062993 0.864982
0.6 398 0.062629 0.865707
0.6 399 0.062266 0.866431
0.6 400 0.061916 0.86713
0.6 401 0.061547 0.867867
0.6 402 0.061196 0.868568
0.6 403 0.060839 0.869283
0.6 404 0.060502 0.869957
0.6 405 0.060166 0.870631
0.6 406 0.05983 0.871305
0.6 407 0.059497 0.871973
0.6 408 0.05914 0.87269
0.6 409 0.058834 0.873305
0.6 410 0.058521 0.873935
0.6 411 0.058185 0.874611
0.6 412 0.057867 0.875252
0.6 413 0.05755 0.875891
0.6 414 0.057244 0.876508
0.6 415 0.056941 0.87712
0.6 416 0.056638 0.877732
0.6 417 0.056332 0.878351
0.6 418 0.056032 0.878958
0.6 419 0.055724 0.879581
0.6 420 0.055417 0.880203
0.6 421 0.055138 0.880769
0.6 422 0.054869 0.881315
0.6 423 0.054562 0.881938
0.6 424 0.054274 0.882523
0.6 425 0.053996 0.883088
0.6 426 0.053708 0.883674
0.6 427 0.053439 0.884221
0.6 428 0.053169 0.884771
0.6 429 0.052912 0.885295
0.6 430 0.052643 0.885843
0.6 431 0.052366 0.886409
0.6 432 0.052097 0.886958
0.6 433 0.051841 0.887481
0.6 434 0.05159 0.887994
0.6 435 0.051325 0.888536
0.6 436 0.051073 0.889052
0.6 437 0.05082 0.88957
0.6 438 0.050566 0.89009
0.6 439 0.050325 0.890584
0.6 440 0.050084 0.891079
0.6 441 0.04983 0.8916
0.6 442 0.049579 0.892115
0.6 443 0.049337 0.892613
0.6 444 0.049117 0.893065
0.6 445 0.048875 0.893563
0.6 446 0.048644 0.894038
0.6 447 0.048413 0.894514
0.6 448 0.048182 0.89499
0.6 449 0.047952 0.895464
0.6 450 0.047721 0.89594
0.6 451 0.04749 0.896417
0.6 452 0.047278 0.896855
0.6 453 0.04706 0.897305
0.6 454 0.04683 0.89778
0.6 455 0.046599 0.898258
0.6 456 0.046393 0.898684
0.6 457 0.04618 0.899125
0.6 458 0.045974 0.899551
0.6 459 0.045761 0.899993
0.6 460 0.045544 0.900443
0.6 461 0.045358 0.900828
0.6 462 0.045133 0.901295
0.6 463 0.044939 0.901698
0.6 464 0.04473 0.902132
0.6 465 0.044516 0.902576
0.6 466 0.044312 0.903001
0.6 467 0.044114 0.903412
0.6 468 0.043929 0.903797
0.6 469 0.04372 0.904232
0.6 470 0.043534 0.90462
0.6 471 0.043348 0.905007
