atm file : ./atm_trans_0_1_10_0_0_0.dat
0.85 391 0.089504 0.813759
0.85 392 0.088957 0.814785
0.85 393 0.088411 0.81581
0.85 394 0.087873 0.816821
0.85 395 0.087344 0.817817
0.85 396 0.086807 0.818829
0.85 397 0.086303 0.819779
0.85 398 0.085793 0.820743
0.85 399 0.085295 0.821684
0.85 400 0.084787 0.822646
0.85 401 0.084288 0.823592
0.85 402 0.083791 0.824535
0.85 403 0.0833 0.825468
0.85 404 0.082829 0.826363
0.85 405 0.082368 0.827241
0.85 406 0.081888 0.828156
0.85 407 0.081419 0.829051
0.85 408 0.080939 0.829967
0.85 409 0.080491 0.830824
0.85 410 0.080063 0.831643
0.85 411 0.079603 0.832524
0.85 412 0.079169 0.833357
0.85 413 0.07871 0.834238
0.85 414 0.078286 0.835053
0.85 415 0.077853 0.835886
0.85 416 0.077421 0.836718
0.85 417 0.077007 0.837516
0.85 418 0.076596 0.838309
0.85 419 0.076179 0.839114
0.85 420 0.075762 0.83992
0.85 421 0.07537 0.840679
0.85 422 0.074978 0.841438
0.85 423 0.074562 0.842244
0.85 424 0.074146 0.843051
0.85 425 0.073754 0.843813
0.85 426 0.073373 0.844553
0.85 427 0.073001 0.845277
0.85 428 0.072624 0.846011
0.85 429 0.072248 0.846744
0.85 430 0.071887 0.847448
0.85 431 0.071496 0.848211
0.85 432 0.071135 0.848917
0.85 433 0.070766 0.849638
0.85 434 0.070422 0.850311
0.85 435 0.070068 0.851005
0.85 436 0.069711 0.851705
0.85 437 0.06935 0.852413
0.85 438 0.068999 0.853102
0.85 439 0.068654 0.85378
0.85 440 0.068332 0.854413
0.85 441 0.067977 0.855112
0.85 442 0.067626 0.855803
0.85 443 0.067305 0.856436
0.85 444 0.066984 0.857069
0.85 445 0.066663 0.857703
0.85 446 0.066332 0.858357
0.85 447 0.066012 0.85899
0.85 448 0.065691 0.859625
0.85 449 0.065371 0.860259
0.85 450 0.065051 0.860893
0.85 451 0.064731 0.861527
0.85 452 0.064432 0.862121
0.85 453 0.064133 0.862714
0.85 454 0.063813 0.86335
0.85 455 0.063504 0.863965
0.85 456 0.063212 0.864546
0.85 457 0.062919 0.865129
0.85 458 0.062632 0.865701
0.85 459 0.062333 0.866297
0.85 460 0.062041 0.86688
0.85 461 0.061769 0.867423
0.85 462 0.061482 0.867997
0.85 463 0.06119 0.86858
0.85 464 0.060918 0.869125
0.85 465 0.060621 0.869719
0.85 466 0.060328 0.870306
0.85 467 0.060069 0.870825
0.85 468 0.059797 0.871371
0.85 469 0.059526 0.871915
0.85 470 0.059243 0.872483
0.85 471 0.058995 0.872981
0.85 472 0.058713 0.873548
0.85 473 0.058453 0.874072
0.85 474 0.058194 0.874593
0.85 475 0.057935 0.875115
0.85 476 0.057664 0.875661
0.85 477 0.057417 0.876159
0.85 478 0.057182 0.876633
0.85 479 0.056923 0.877156
0.85 480 0.056676 0.877655
0.85 481 0.056429 0.878155
0.85 482 0.056159 0.878701
0.85 483 0.055922 0.87918
0.85 484 0.055677 0.879677
0.85 485 0.055433 0.880171
0.85 486 0.055184 0.880676
0.85 487 0.054945 0.88116
0.85 488 0.054703 0.881652
0.85 489 0.054456 0.882153
0.85 490 0.054232 0.882608
0.85 491 0.054008 0.883064
0.85 492 0.053764 0.88356
0.85 493 0.053533 0.88403
0.85 494 0.053308 0.884488
0.85 495 0.053084 0.884944
0.85 496 0.052873 0.885374
0.85 497 0.052636 0.885858
0.85 498 0.052426 0.886286
0.85 499 0.052202 0.886743
0.85 500 0.051978 0.887201
0.85 501 0.051767 0.887632
0.85 502 0.051556 0.888063
0.85 503 0.051346 0.888493
0.85 504 0.051135 0.888925
0.85 505 0.050899 0.889408
0.85 506 0.050688 0.88984
0.85 507 0.050467 0.890293
0.85 508 0.050268 0.890701
0.85 509 0.050057 0.891134
0.85 510 0.049821 0.891618
0.85 511 0.049626 0.892019
0.85 512 0.049427 0.892428
0.85 513 0.04922 0.892853
0.85 514 0.049006 0.893293
0.85 515 0.048796 0.893725
0.85 516 0.048605 0.894118
0.85 517 0.04841 0.89452
0.85 518 0.048219 0.894913
0.85 519 0.04802 0.895324
0.85 520 0.047799 0.895779
0.85 521 0.047601 0.896188
0.85 522 0.047421 0.896559
0.85 523 0.047223 0.896968
0.85 524 0.047032 0.897363
0.85 525 0.046867 0.897704
0.85 526 0.046687 0.898076
0.85 527 0.046489 0.898485
0.85 528 0.046298 0.898881
0.85 529 0.046104 0.899282
0.85 530 0.045924 0.899655
0.85 531 0.045745 0.900026
0.85 532 0.045565 0.900399
0.85 533 0.045371 0.900801
0.85 534 0.045192 0.901173
0.85 535 0.045012 0.901546
0.85 536 0.044833 0.901918
0.85 537 0.044639 0.902321
0.85 538 0.04446 0.902693
0.85 539 0.04428 0.903067
0.85 540 0.044101 0.903439
0.85 541 0.043917 0.903822
0.85 542 0.043758 0.904153
0.85 543 0.043579 0.904526
0.85 544 0.043385 0.90493
0.85 545 0.043221 0.905272
0.85 546 0.043057 0.905614
0.85 547 0.042863 0.906018
0.85 548 0.042684 0.906392
0.85 549 0.042525 0.906724
0.85 550 0.042356 0.907077
0.85 551 0.042229 0.907342
0.85 552 0.042103 0.907605
0.85 553 0.041986 0.90785
0.85 554 0.041834 0.908168
0.85 555 0.041708 0.908431
0.85 556 0.041581 0.908697
0.85 557 0.04143 0.909013
0.85 558 0.041313 0.909258
0.85 559 0.041187 0.909522
0.85 560 0.041065 0.909777
0.85 561 0.041045 0.909819
0.85 562 0.041221 0.90945
0.85 563 0.040996 0.909922
0.85 564 0.041149 0.909601
0.85 565 0.041013 0.909886
0.85 566 0.041326 0.909231
0.85 567 0.043447 0.904801
0.85 568 0.053476 0.884146
0.85 569 0.057735 0.875518
0.85 570 0.049908 0.89144
0.85 571 0.048315 0.894716
0.85 572 0.051908 0.887344
0.85 573 0.049068 0.893166
0.85 574 0.050785 0.889641
0.85 575 0.048875 0.893563
0.85 576 0.04676 0.897925
0.85 577 0.045817 0.899877
0.85 578 0.042351 0.907087
0.85 579 0.041135 0.90963
0.85 580 0.040909 0.910104
0.85 581 0.040058 0.911889
0.85 582 0.040267 0.91145
0.85 583 0.041117 0.909668
0.85 584 0.041482 0.908904
0.85 585 0.041534 0.908795
0.85 586 0.044328 0.902967
0.85 587 0.054069 0.88294
0.85 588 0.08065 0.83052
0.85 589 0.095759 0.802123
0.85 590 0.087237 0.818018
0.85 591 0.080993 0.829864
0.85 592 0.079133 0.833426
0.85 593 0.066033 0.858948
0.85 594 0.087866 0.816834
0.85 595 0.074167 0.843011
0.85 596 0.064453 0.862079
0.85 597 0.06509 0.860815
0.85 598 0.057382 0.87623
0.85 599 0.053148 0.884814
0.85 600 0.046096 0.899299
0.85 601 0.04201 0.9078
0.85 602 0.039053 0.914002
0.85 603 0.037473 0.917333
0.85 604 0.036647 0.919079
0.85 605 0.036 0.92045
0.85 606 0.035748 0.920984
0.85 607 0.035565 0.921372
0.85 608 0.035441 0.921635
0.85 609 0.035316 0.9219
0.85 610 0.035192 0.922164
0.85 611 0.035075 0.922412
0.85 612 0.034964 0.922648
0.85 613 0.034861 0.922867
0.85 614 0.034757 0.923088
0.85 615 0.034643 0.92333
0.85 616 0.034529 0.923573
0.85 617 0.034426 0.923792
0.85 618 0.034322 0.924013
0.85 619 0.034212 0.924247
0.85 620 0.034095 0.924496
0.85 621 0.033991 0.924717
0.85 622 0.033888 0.924937
0.85 623 0.033784 0.925158
0.85 624 0.033681 0.925378
0.85 625 0.033677 0.925386
0.85 626 0.037037 0.918254
0.85 627 0.046211 0.899061
0.85 628 0.052283 0.886578
0.85 629 0.047847 0.89568
0.85 630 0.040718 0.910504
0.85 631 0.043367 0.904968
0.85 632 0.044056 0.903533
0.85 633 0.038907 0.914309
0.85 634 0.03924 0.913608
0.85 635 0.038554 0.915052
0.85 636 0.037577 0.917113
0.85 637 0.0371 0.918121
0.85 638 0.035503 0.921504
0.85 639 0.034954 0.922669
0.85 640 0.034467 0.923704
0.85 641 0.03426 0.924145
0.85 642 0.034799 0.922999
0.85 643 0.03656 0.919263
0.85 644 0.038866 0.914395
0.85 645 0.045562 0.900405
0.85 646 0.060812 0.869337
0.85 647 0.074314 0.842725
0.85 648 0.077356 0.836843
0.85 649 0.062301 0.866361
0.85 650 0.047931 0.895507
0.85 651 0.061748 0.867465
0.85 652 0.055196 0.880651
