atm file : ./atm_trans_0_1_10_0_0_0.dat
0.4 200 6.56417 2.72793e-07
0.4 201 3.79477 0.000160408
0.4 202 3.44169 0.000361665
0.4 203 3.43706 0.000365547
0.4 204 3.42188 0.000378549
0.4 205 3.39907 0.000398956
0.4 206 3.36581 0.000430715
0.4 207 3.32357 0.00047471
0.4 208 3.2751 0.000530761
0.4 209 3.21638 0.000607605
0.4 210 3.15252 0.000703856
0.4 211 3.08105 0.000829759
0.4 212 3.00404 0.000990743
0.4 213 2.92282 0.00119448
0.4 214 2.83678 0.00145619
0.4 215 2.74836 0.00178499
0.4 216 2.65564 0.00220981
0.4 217 2.56145 0.00274506
0.4 218 2.46614 0.00341868
0.4 219 2.3689 0.00427658
0.4 220 2.27253 0.00533914
0.4 221 2.17774 0.00664144
0.4 222 2.0838 0.00824514
0.4 223 1.99048 0.0102216
0.4 224 1.90007 0.0125871
0.4 225 1.81231 0.0154061
0.4 226 1.72796 0.0187085
0.4 227 1.64636 0.0225759
0.4 228 1.56806 0.0270361
0.4 229 1.49426 0.0320439
0.4 230 1.42393 0.0376761
0.4 231 1.35746 0.0439075
0.4 232 1.29502 0.0506965
0.4 233 1.2364 0.058023
0.4 234 1.18318 0.0655872
0.4 235 1.1314 0.0738921
0.4 236 1.08547 0.0821361
0.4 237 1.04265 0.0906467
0.4 238 1.00326 0.0992526
0.4 239 0.968389 0.10755
0.4 240 0.933902 0.116439
0.4 241 0.905024 0.124445
0.4 242 0.876222 0.132977
0.4 243 0.853565 0.140099
0.4 244 0.827025 0.148928
0.4 245 0.80559 0.156462
0.4 246 0.78219 0.165124
0.4 247 0.76605 0.171376
0.4 248 0.748165 0.178581
0.4 249 0.736342 0.183509
0.4 250 0.716864 0.191927
0.4 251 0.705853 0.196855
0.4 252 0.689927 0.204208
0.4 253 0.676804 0.210473
0.4 254 0.661705 0.217919
0.4 255 0.655914 0.220844
0.4 256 0.633125 0.232742
0.4 257 0.619975 0.239897
0.4 258 0.614572 0.2429
0.4 259 0.591903 0.255916
0.4 260 0.582274 0.261653
0.4 261 0.56201 0.274151
0.4 262 0.551953 0.280574
0.4 263 0.526815 0.297293
0.4 264 0.520473 0.301666
0.4 265 0.501746 0.314959
0.4 266 0.482852 0.328964
0.4 267 0.466552 0.341545
0.4 268 0.44665 0.357561
0.4 269 0.432517 0.369388
0.4 270 0.415179 0.384433
0.4 271 0.397896 0.400041
0.4 272 0.38219 0.414773
0.4 273 0.364371 0.432145
0.4 274 0.34438 0.452501
0.4 275 0.330172 0.46755
0.4 276 0.314337 0.484912
0.4 277 0.300237 0.500914
0.4 278 0.284441 0.519468
0.4 279 0.270704 0.536162
0.4 280 0.25592 0.554728
0.4 281 0.242209 0.57252
0.4 282 0.230103 0.588704
0.4 283 0.221595 0.600351
0.4 284 0.20861 0.618572
0.4 285 0.197699 0.634309
0.4 286 0.189148 0.646922
0.4 287 0.180214 0.660368
0.4 288 0.170877 0.674719
0.4 289 0.163372 0.68648
0.4 290 0.156932 0.696736
0.4 291 0.15008 0.707815
0.4 292 0.144193 0.717475
0.4 293 0.138508 0.726929
0.4 294 0.133815 0.734827
0.4 295 0.129005 0.743011
0.4 296 0.124816 0.750212
0.4 297 0.120979 0.756869
0.4 298 0.117526 0.762911
0.4 299 0.114238 0.768709
0.4 300 0.11148 0.773606
0.4 301 0.108578 0.778793
0.4 302 0.106417 0.782678
0.4 303 0.103942 0.787151
0.4 304 0.102212 0.790293
0.4 305 0.099976 0.794372
0.4 306 0.098511 0.797056
0.4 307 0.096579 0.80061
0.4 308 0.095243 0.803077
0.4 309 0.093667 0.805996
0.4 310 0.092303 0.808532
0.4 311 0.091069 0.810832
0.4 312 0.089722 0.813351
0.4 313 0.0887 0.815267
0.4 314 0.087455 0.817608
0.4 315 0.08649 0.819426
0.4 316 0.085378 0.821527
0.4 317 0.084518 0.823156
0.4 318 0.083441 0.8252
0.4 319 0.082592 0.826814
0.4 320 0.081731 0.828455
0.4 321 0.080736 0.830355
0.4 322 0.080131 0.831513
0.4 323 0.079129 0.833434
0.4 324 0.0784 0.834834
0.4 325 0.077723 0.836136
0.4 326 0.076863 0.837794
0.4 327 0.076216 0.839043
0.4 328 0.075568 0.840295
0.4 329 0.074769 0.841843
0.4 330 0.074149 0.843045
0.4 331 0.073545 0.844219
0.4 332 0.072804 0.84566
0.4 333 0.072224 0.846791
0.4 334 0.071597 0.848014
0.4 335 0.070941 0.849296
0.4 336 0.070351 0.85045
0.4 337 0.06981 0.85151
0.4 338 0.069195 0.852717
0.4 339 0.068632 0.853823
0.4 340 0.068109 0.854852
0.4 341 0.06753 0.855993
0.4 342 0.066982 0.857073
0.4 343 0.066473 0.858078
0.4 344 0.06598 0.859053
0.4 345 0.065468 0.860066
